experience,city,salary_lpa,skill_Python,skill_Machine_Learning,skill_SQL,skill_Java,skill_JavaScript,skill_React,skill_Node.js,skill_AWS,skill_Docker,skill_Kubernetes,skill_Data_Analysis,skill_Deep_Learning,skill_NLP,skill_Computer_Vision,skill_TensorFlow
6,Kolkata,9.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
11,Kolkata,13.69,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,Pune,8.93,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0
5,Hyderabad,16.07,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1
14,Delhi NCR,23.15,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0
10,Chennai,17.28,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
12,Bangalore,22.97,0,0,0,0,1,1,0,1,1,0,1,0,1,0,1
7,Chennai,14.85,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0
5,Hyderabad,14.85,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1
13,Bangalore,20.84,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
5,Bangalore,17.77,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1
2,Hyderabad,10.37,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
7,Chennai,13.04,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0
2,Hyderabad,8.8,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0
4,Chennai,15.14,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
12,Hyderabad,15.24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10,Bangalore,13.64,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
6,Hyderabad,15.09,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0
10,Hyderabad,13.85,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
15,Delhi NCR,19.31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
10,Chennai,16.17,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1
8,Delhi NCR,16.62,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1
14,Delhi NCR,19.19,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
15,Noida,17.49,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,Noida,8.05,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11,Chennai,15.22,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0
0,Bangalore,9.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,Pune,16.46,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0
6,Mumbai,17.95,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1
13,Mumbai,16.81,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,Chennai,11.15,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1
10,Kolkata,16.09,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
14,Kolkata,21.24,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0
15,Kolkata,15.24,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0
14,Bangalore,23.31,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0
14,Noida,18.77,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
8,Bangalore,13.29,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
8,Chennai,12.09,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,Mumbai,16.23,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0
